-1.46,α CMa,45:53.1,-16:44:20.7
-0.74,α Car,24:20.1,-52:42:42.7
-0.27,α Cen,40:52.0,-60:53:56.3
-0.05,α Boo,16:25.3,06:21.7
0.34,α CMi,40:10.6,10:59.8
0.61,β Cen,05:00.4,-60:26:42.4
0.76,α Cru,27:33.7,-63:11:07.4
0.96,α Sco,30:23.7,-26:27:48.2
0.97,α Vir,26:03.5,-11:14:41.4
1.25,β Cru,48:43.2,-59:46:24.3
1.39,α Leo,09:15.2,53:04.9
1.5,ε CMa,59:16.8,-29:00:02.1
1.62,λ Sco,34:41.5,-37:06:36.4
1.64,γ Cru,32:06.7,-57:11:58.3
1.69,β Car,13:27.7,-69:47:13.0
1.72,γ Vel,10:03.9,-47:23:22.2
1.82,δ CMa,09:04.1,-26:25:30.6
1.84,θ Sco,38:27.8,-43:00:07.9
1.86,ε Car,22:53.7,-59:33:58.3
1.91,α TrA,50:22.3,-69:02:54.2
1.96,δ Vel,45:11.6,-54:46:18.6
1.98,β CMa,23:25.5,-17:58:13.5
2,α Hya,28:24.1,-08:43:57.7
2.08,γ Leo,20:52.3,45:25.0
2.06,θ Cen,07:39.8,-36:26:36.2
2.11,β Leo,49:54.3,28:47.2
2.17,γ Cen,42:27.1,-49:02:45.0
2.21,ι Car,17:34.6,-59:20:46.2
2.21,λ Vel,08:37.6,-43:30:06.2
2.25,ζ Pup,04:10.9,-40:03:15.1
2.3,α Lup,43:01.5,-47:27:07.3
2.3,ε Cen,40:56.9,-53:32:37.8
2.31,δ Sco,01:17.3,-22:39:49.5
2.31,ε Sco,51:13.0,-34:18:58.4
2.35,η Cen,36:33.1,-42:13:25.7
2.39,κ Sco,43:35.4,-39:01:57.7
2.45,η CMa,24:45.3,-29:20:26.8
2.46,κ Vel,22:39.7,-55:04:58.2
2.5,β Sco,06:22.5,-19:50:45.5